,condition,trial,sub_task,x,y,xt,yt,cat,resp,rt,acc,correct_resp
0,2F4K,1,1,43.99973936073842,59.55447795299682,1.248323783166757,60.44694370182778,1,n,5.0,NA,c
1,2F4K,2,2,41.7583924999828,54.7916940226099,1.191477555527644,56.51953698598329,2,v,2.251960500000223,incorrect,b
2,2F4K,3,2,71.89568375005992,56.97216201202035,2.229732301316748,58.34261384240579,1,v,2.1691624000000047,correct,v
3,2F4K,4,2,65.06581280729732,46.19537276152688,1.9345183105706167,49.04485778069061,1,v,1.8802974999998696,correct,v
4,2F4K,5,2,65.14977901406641,44.97634950297972,1.9378989845815495,47.96272894500197,1,v,2.829300599999897,correct,v
5,2F4K,6,2,77.68394914184569,61.46321422088722,2.514930399749818,61.95871666558229,1,v,0.9153095000001485,correct,v
6,2F4K,7,1,41.27977847960344,53.12475357223446,1.1796781906071871,55.10136586190922,1,c,1.2916858000000957,correct,c
7,2F4K,8,1,63.06250124200416,52.66727109590655,1.855586219610712,54.70887439854589,2,c,0.4966233000000102,incorrect,n
8,2F4K,9,2,55.87373177064084,70.98539690852878,1.5979385763319909,68.80961246748667,2,v,1.7407195999999203,incorrect,b
9,2F4K,10,2,31.0457776057377,42.83935092468004,0.9535452635791196,46.06153077861642,2,v,1.9840554999998403,incorrect,b
10,2F4K,11,1,61.64587456393152,54.9395733555617,1.801721765054419,56.64437886535338,2,c,1.3623430000000099,incorrect,n
11,2F4K,12,2,46.180391086640185,55.890677138349936,1.306232521283501,57.443251438008986,2,v,1.7649810000000343,incorrect,b
12,2F4K,13,2,54.70061993736331,39.36328051198162,1.5594297880690364,42.97192820324054,1,v,1.0549453000000995,correct,v
13,2F4K,14,2,42.56102735736215,52.655284460014606,1.211530580584737,54.69857283558299,2,b,1.5032473000001119,correct,b
14,2F4K,15,1,71.17101705667903,49.70036930277827,2.1963843118958586,52.13446716299506,2,n,1.1575477999999748,correct,n
15,2F4K,16,1,72.8414428957742,54.126071750763984,2.27401738990261,55.955600246166505,2,n,1.1034485000000132,correct,n
16,2F4K,17,1,55.73905643717379,72.56052287947365,1.5934698178975688,69.8133757566533,1,c,0.6907665999999608,correct,c
17,2F4K,18,2,33.290719844671514,20.948558997843666,0.9991142699050852,27.68040215779073,1,b,0.8728203000000576,incorrect,v
18,2F4K,19,1,51.56685228338536,33.9261337035212,1.461050017882731,38.203697957477445,2,c,2.8224239999999554,incorrect,n
19,2F4K,20,2,50.893594013412034,71.8265447736861,1.4407378171763947,69.35068940869661,2,b,2.025966500000095,correct,b
20,2F4K,21,1,46.37216041482343,68.91441065260842,1.31145182497238,67.42964610379094,1,c,1.9166569999999865,correct,c
21,2F4K,22,2,45.43883530458774,57.42977171971691,1.286244634616129,58.72009752004696,2,v,1.8367149000000609,incorrect,b
22,2F4K,23,2,37.65647801639813,51.5079304048324,1.0940618810668363,53.708532660018825,2,v,2.4400909000000865,incorrect,b
23,2F4K,24,2,45.96271933585741,59.78796664774579,1.3003334076333084,60.63396952506046,2,b,1.1960200999999415,correct,b
24,2F4K,25,1,64.47825710612369,53.99945430657153,1.911026405994004,55.84796325139303,2,c,1.5880839999999807,incorrect,n
25,2F4K,26,2,60.129786692484814,48.20136215471521,1.745806423731705,50.81809842936173,1,v,1.6314833999999792,correct,v
26,2F4K,27,1,61.94173742000738,40.07747808704392,1.812840657387452,43.60539183584455,2,n,1.2067713000001277,correct,n
27,2F4K,28,1,60.342912830433306,48.60643936445348,1.7535607172119947,51.17466926350592,2,n,0.8621780999999373,correct,n
28,2F4K,29,2,58.701478419213736,42.070619673142566,1.6947169695434972,45.37730783597458,1,v,2.5736517999998796,correct,v
29,2F4K,30,2,56.872267304690446,39.11057512043191,1.6314649792784284,42.74805115869861,1,v,0.8212321000000884,correct,v
30,2F4K,31,1,61.42036058699385,55.16813646325872,1.7932924942720956,56.83700693607849,2,n,1.0321182999998655,correct,n
31,2F4K,32,2,62.05711545691487,52.066823991134,1.8171952805855376,54.19176002960216,1,v,0.6232081999999082,correct,v
32,2F4K,33,2,59.71053772774245,46.888244701663815,1.7306525704050704,49.658575224582485,1,v,0.6837608000000728,correct,v
33,2F4K,34,2,51.24502486205044,68.78087552264506,1.451305004049681,67.3383987671094,2,b,1.357795299999907,correct,b
34,2F4K,35,1,38.9165864124362,52.69185664785651,1.1231087208122872,54.73000093040724,1,c,2.1063094000001,correct,c
35,2F4K,36,1,42.70342776127436,33.763931271734585,1.2151234007387528,38.06353000679554,2,n,0.763638599999922,correct,n
36,2F4K,37,1,39.88011336435659,59.49266950101334,1.145838248147217,60.39734032005415,1,c,0.6666854000000058,correct,c
37,2F4K,38,2,49.995427816370885,34.24699583325695,1.4140791111576545,38.48141016688956,1,b,2.622146100000009,incorrect,v
38,2F4K,39,2,36.268000756407545,49.06104534967915,1.0629251612114965,51.57411642496273,2,b,1.1170677000000069,correct,b
39,2F4K,40,2,49.60715744819216,37.71300560859261,1.4027080070844349,41.512970599818544,1,v,0.7031500000000506,correct,v
40,2F4K,41,1,55.27678920275712,43.92996622357204,1.578225851008064,47.03219395950039,2,n,3.0345573999998123,correct,n
41,2F4K,42,2,55.63041538685063,37.37694354599485,1.5898740301984329,41.21687588620756,1,v,0.8242649999999685,correct,v
42,2F4K,43,2,49.28213879554693,33.48771859278711,1.393259667398859,37.82519114219025,1,v,0.6360940000001847,correct,v
43,2F4K,44,1,59.86531995576137,47.42141856581766,1.736231832970418,50.1300039507065,2,c,2.0322865999999067,incorrect,n
44,2F4K,45,1,42.09261068308873,49.82849684992277,1.1997870131050343,52.2465578364838,1,c,1.2127508000000944,correct,c
45,2F4K,46,1,57.16354931218257,42.90074600160936,1.6413768142771077,46.11618071832056,2,n,0.6051069000000098,correct,n
46,2F4K,47,1,46.86117685551367,60.53019059695503,1.324855766304401,61.22467722308407,1,c,2.288406299999906,correct,c
47,2F4K,48,2,55.86749783924517,43.19610751208279,1.597731447447172,46.37908837240309,1,v,0.8303630999998859,correct,v
48,2F4K,49,1,54.188604541965255,49.53532976695463,1.5429145197994625,51.98997889576487,2,n,1.7649739999999383,correct,n
49,2F4K,50,1,61.75949079999967,42.38678017218084,1.8059835150343624,45.65869255930066,2,n,0.5515866000000642,correct,n
50,2F4K,51,1,55.89934519897395,70.65218759032274,1.598789891106544,68.59212362765352,1,c,0.6179162999999335,correct,c
51,2F4K,52,2,63.066484344385,50.66896650034754,1.8557399172898248,52.979957314846345,1,v,2.2701689000000442,correct,v
52,2F4K,53,2,62.99637757994056,54.8527097848252,1.8530365364941184,56.57106742814148,1,v,0.5526899999999841,correct,v
53,2F4K,54,2,55.52050961413951,35.40116115587796,1.5862446392174745,39.48488070839584,1,b,0.5755100000001221,incorrect,v
54,2F4K,55,1,36.34408913509196,49.58719273605497,1.0646082667615857,52.03539638241253,1,n,0.7942175999999108,incorrect,c
55,2F4K,56,1,41.44712324206216,56.92771539025167,1.1837904286513743,58.30585032018355,1,c,0.7031827000000703,correct,c
56,2F4K,57,2,41.26851972718266,62.849635631401966,1.1794020376501524,63.03102973009344,2,b,1.947101999999859,correct,b
57,2F4K,58,2,53.77920238749798,60.821592438114585,1.5298350125724318,61.45496921597038,2,b,1.0731008000000202,correct,b
58,2F4K,59,2,27.440427972360908,41.04938662892396,0.8846709402098527,44.4688531808599,2,b,0.7939440000000104,correct,b
59,2F4K,60,2,50.0424718442048,66.31912024975604,1.4154631152146426,65.60925612175924,2,b,1.0913485999999466,correct,b
60,2F4K,61,2,61.19472986923955,52.49319888588516,1.784898326490067,54.55918584363367,1,v,0.7383641999999782,correct,v
61,2F4K,62,1,68.88143974655078,58.15433459969448,2.0942638178761235,59.31387503694024,2,c,0.8244855000000371,incorrect,n
62,2F4K,63,2,40.25683206356926,52.66942368630198,1.154849588092992,54.71072428456234,2,b,2.0563154999999824,correct,b
63,2F4K,64,2,54.71102076044333,47.03172838490545,1.55976709651506,49.78551890741994,1,v,3.344271800000115,correct,v
