cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-3.252558339408992,21,20,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-23.072731916400812,22,21,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-9.28023499595767,23,22,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-12.169793041944676,24,23,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-9.774566181481266,25,24,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.116946457648288,26,25,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.61901314472311,27,26,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-8.29237305258988,28,27,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.999775452321048,29,28,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-8.19873110914115,30,29,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-17.88262833648089,31,30,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.404573544622323,32,31,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-8.726267325049434,33,32,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-8.57210473448181,34,33,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.746826174382187,35,34,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-16.1114547768711,36,35,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-22.78454834961403,37,36,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-15.57763221651564,38,37,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-6.764904201262648,39,38,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-8.340025630761165,40,39,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-16.992206650668265,41,40,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-9.711826832297746,42,41,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.396546967385169,43,42,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-17.468577777201045,44,43,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-13.678122702595507,45,44,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.787007972453132,46,45,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.93759010564267,47,46,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-6.396814220716224,48,47,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.608405725370071,49,48,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-9.112918081764807,50,49,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.586209052986984,51,50,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-13.881772266577677,52,51,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-7.887743247470274,53,52,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-5.111356622342041,54,53,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-9.310953498845715,55,54,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-10.886851061271246,56,55,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-8.504728570848211,57,56,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-13.17038057022065,58,57,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.000364652006454,59,58,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-12.094025853275964,60,59,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-16.92566489150829,61,60,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-4.676237700220494,62,61,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-4.783141628062135,63,62,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.136204552957045,64,63,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.217649173184626,65,64,90
0.0,1.0,0.0,0.0,1.0,0.0,0.0,-9.465991895297966,66,65,90
