,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0.0,0.0,0.0,0.0,86.86662162154832,0.13191489999985606,0.7522175999999945
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,0.0,0.0,0.0,0.0,90.0238463662259,0.11690410000005613,0.33323969999992187
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,90,0.0,0.0,0.0,0.0,89.82804045816046,0.182925300000079,0.3512474999999995
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,90,0.0,0.0,0.0,0.0,91.87696306660321,0.13294250000012653,0.36722850000001017
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,90,0.0,0.0,0.0,0.0,89.70474323139335,0.14994179999985136,0.36725449999994453
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,5,90,0.0,0.0,0.0,0.0,92.46881109171903,0.11689550000005511,0.3522710999998253
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,0.0,0.0,0.0,0.0,86.57478943196006,0.1318923999999697,0.3352168999999776
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,90,0.0,0.0,0.0,0.0,88.292252594829,0.13395860000014181,0.4821795000000293
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,90,0.0,0.0,0.0,0.0,92.08038440762769,0.11790479999990566,0.300236699999914
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,90,0.0,0.0,0.0,0.0,92.83599424561031,0.11690840000005664,0.5342252000000371
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10,90,0.0,0.0,0.0,0.0,93.34361257173339,0.19997710000006919,0.301215799999909
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11,90,0.0,0.0,0.0,0.0,91.69757946163648,0.11695899999995163,0.28223049999996874
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,90,0.0,0.0,0.0,0.0,88.45894571415938,0.13191759999995156,0.2682085999999799
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,13,90,0.0,0.0,0.0,0.0,93.10771493911011,0.1829225999999835,0.300210399999969
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14,90,0.0,0.0,0.0,0.0,90.33178223794162,0.11693139999988489,0.33323509999991074
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,15,90,0.0,0.0,0.0,0.0,88.3375799546477,0.11603179999997337,0.31620729999985997
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,16,90,0.0,0.0,0.0,0.0,92.01382945892635,0.14890140000011343,0.33523270000000593
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,90,0.0,0.0,0.0,0.0,88.82605050363573,0.14996530000007624,0.3152227999999013
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18,90,0.0,0.0,0.0,0.0,91.18863097920213,0.19996130000004086,0.33322689999999966
