,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,no_uncertainty,low_uncertainty,high_uncertainty,unlimited_uncertainty,endpoint_theta,movement_time,movement_initiation_time
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0.0,0.0,0.0,0.0,90.32370152492024,0.13310195799931535,0.549096582999482
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,0.0,0.0,0.0,0.0,86.67259575827342,0.18313341699831653,0.4880922919983277
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,0.0,0.0,0.0,0.0,85.15599962491933,0.14085883300140267,0.23277512499771547
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.219415319285352,3,2,90,0.0,0.0,0.0,1.0,89.3376505526278,0.1605096669991326,0.3997794580027403
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.540001640797426,4,3,90,0.0,0.0,1.0,0.0,84.57477363157967,0.2865915000002133,0.33857054200052517
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.891038129117307,5,4,90,1.0,0.0,0.0,0.0,86.05481377096244,0.33559900000182097,0.46823650000078487
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.9565458743077615,6,5,90,0.0,1.0,0.0,0.0,86.72101374114558,0.21496525000111433,0.5092900419986108
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,0.0,0.0,0.0,0.0,86.50294026070176,0.18280091699853074,0.519104666000203
0,1,1,0,0,0,0,0,0.0,1,0,90,0,0,0,0,88.24659513992847,0.10021545799827436,0.6656313330022385
0,1,1,0,0,0,0,0,0.0,2,1,90,0,0,0,0,89.66494078139087,0.285597208996478,0.5827192910001031
0,0,1,0,0,1,0,0,10.21941532,3,2,90,0,0,0,1,88.67547808770881,0.5326257920023636,0.5741265830001794
0,0,1,0,0,1,0,0,8.540001641,4,3,90,0,0,1,0,88.3445134608807,0.14876341600029264,0.6416313750014524
0,0,1,0,0,1,0,0,11.89103813,5,4,90,1,0,0,0,88.72696997994328,0.19131004199880408,0.6834890419995645
0,0,1,0,0,1,0,0,4.956545874,6,5,90,0,1,0,0,86.50294026070176,0.24861087500175927,0.5989349169976776
0,0,0,0,0,0,0,0,0.0,7,6,90,0,0,0,0,85.10090754621223,0.31612283299909905,0.6157880829996429
