,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,trial,cycle,target_angle,"
                'instruct_phase': [instruct_phase[current_trial]],
                'instruct_state': [instruct_state[current_trial]],
                endpoint_theta",movement_time,movement_initiation_time
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,90.2664900760584,0.05343462499990892,0.6068440000000237
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,89.32990447777549,0.055657540999959565,0.34928962499998306
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.245592050761132,3,2,90,91.00508600525419,2.6566754589999846,0.7264243330000681
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.043906472338893,4,3,90,90.0,0.3470828749999555,0.0043786669999690275
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.899692169424686,5,4,90,87.76520114126113,0.08318945799999256,0.35254445799989753
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-15.505033785071394,6,5,90,89.38394009160078,0.08498050000002877,0.3083598330000541
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,92.79270236571328,0.0909518340000659,0.4574875419999671
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,88.52363149018692,0.0851324579998618,0.8161555000006047
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,90.66234944737221,0.0448567080002249,0.398846042000514
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.245592050761132,3,2,90,89.01223960036019,0.04043866700158105,0.30104958299853024
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.043906472338893,4,3,90,92.8466169158161,0.06330808299935597,0.34185358400100085
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.899692169424686,5,4,90,91.63657704161672,0.10147700000015902,0.17584879199966963
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-15.505033785071394,6,5,90,93.61388075200365,0.05121499999950174,0.3177472919996944
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,92.61741336326443,0.06738391700127977,0.34214283299843373
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,88.43493091440774,0.07131379199927323,0.5117096660014795
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,89.16158502559789,0.06532350000088627,0.5820150829986233
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.245592050761132,3,2,90,90.0,0.04967699999906472,0.3737745839989657
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.043906472338893,4,3,90,90.0,0.06346737500098243,0.5517342500006635
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.899692169424686,5,4,90,91.67483799052921,0.10706787500021164,0.3251763750013197
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-15.505033785071394,6,5,90,95.54531730886205,0.07997487499960698,0.3090987079995102
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,90.0,0.06563024999923073,0.3672311249993072
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,90,89.7430699754965,0.06579850000161969,0.37381708300017635
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,90,89.40628260378742,0.08245658300074865,0.3588079580003978
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-14.245592050761132,3,2,90,90.64738238694189,0.07316187499964144,0.34955629200158
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.043906472338893,4,3,90,93.63295073948822,0.06604570799936482,0.4589335420005227
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-11.899692169424686,5,4,90,92.02732270050019,0.09047683400058304,0.08205308399919886
0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-15.505033785071394,6,5,90,94.8713910315241,0.07334987500144052,0.41767662500024016
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,90,90.96556778740093,0.08326008299991372,0.3583187500007625
