trial,theta,previous_uncertainty
0,3.6363572132469257,baseline_no_uncertainty
1,3.0199682376979124,baseline_no_uncertainty
2,2.8396353235931735,baseline_no_uncertainty
3,2.6717346401371858,baseline_no_uncertainty
4,3.163992217705114,baseline_no_uncertainty
5,3.163034047837951,baseline_no_uncertainty
6,3.0724564610134806,baseline_no_uncertainty
7,3.6286876782116417,baseline_no_uncertainty
8,3.9909327408165374,baseline_no_uncertainty
9,3.0899694915262024,baseline_no_uncertainty
10,3.0117061284193425,baseline_no_uncertainty
11,3.2389280589981837,baseline_no_uncertainty
12,2.6411051431305324,baseline_no_uncertainty
13,3.5078948775819265,baseline_no_uncertainty
14,2.9439870426357166,baseline_no_uncertainty
15,2.9556219119567295,baseline_no_uncertainty
16,4.289123530063136,baseline_no_uncertainty
17,2.0835761656997143,baseline_no_uncertainty
18,2.8180247265655405,baseline_no_uncertainty
19,3.6576183917920178,baseline_no_uncertainty
20,5.726742488114576,baseline_no_uncertainty
21,5.857061321590446,high_uncertainty
22,4.499208499759293,high_uncertainty
23,4.819213225063143,high_uncertainty
24,4.363210448859428,unlimited_uncertainty
25,4.474836831323003,no_uncertainty
26,4.9483975411744305,low_uncertainty
27,5.29823052698002,low_uncertainty
28,6.661120172919922,no_uncertainty
29,5.781116490316398,high_uncertainty
30,6.462144267102195,high_uncertainty
31,8.27617103912631,high_uncertainty
32,5.57381295134657,high_uncertainty
33,6.114519525081151,no_uncertainty
34,6.749228405730139,high_uncertainty
35,7.449304191146633,no_uncertainty
36,6.404408882435322,high_uncertainty
37,5.8663460951580575,no_uncertainty
38,6.340738797710339,high_uncertainty
39,6.096297542479183,no_uncertainty
40,4.387115805891552,high_uncertainty
41,5.677092320643548,unlimited_uncertainty
42,6.142975858243764,no_uncertainty
43,7.312604590708972,low_uncertainty
44,6.399136172294925,unlimited_uncertainty
45,5.035432594130726,low_uncertainty
46,7.416300104984576,no_uncertainty
47,8.483302772777941,low_uncertainty
48,4.550992308503968,low_uncertainty
49,6.290271766683838,unlimited_uncertainty
50,5.19669039114315,no_uncertainty
51,7.083259255999456,no_uncertainty
52,6.298860727115143,high_uncertainty
53,3.3557804549099046,low_uncertainty
54,5.397561362600828,high_uncertainty
55,5.719934027906658,no_uncertainty
56,5.249025335307967,unlimited_uncertainty
57,5.165724839791265,unlimited_uncertainty
58,4.750543355771808,low_uncertainty
59,4.386706140289924,low_uncertainty
60,6.4586265126632,high_uncertainty
61,2.996682159832699,unlimited_uncertainty
62,5.3743220315640245,high_uncertainty
63,5.853825437096625,low_uncertainty
64,5.353228808250814,high_uncertainty
65,7.511670787299053,no_uncertainty
66,5.3674755399315135,unlimited_uncertainty
67,4.771246343612058,no_uncertainty
68,4.921803186014131,low_uncertainty
69,13.571038542847703,no_uncertainty
70,8.41035432920348,no_uncertainty
71,4.634455900269876,low_uncertainty
72,5.0043782392458915,unlimited_uncertainty
73,5.469438772791543,high_uncertainty
74,5.083537836926612,unlimited_uncertainty
75,4.952041637610572,no_uncertainty
76,5.562253300541073,high_uncertainty
77,5.736929641151904,low_uncertainty
78,6.181905162480256,no_uncertainty
79,5.505227892785228,low_uncertainty
80,5.027909819071693,unlimited_uncertainty
81,4.704393654181484,high_uncertainty
82,5.7731614727170175,low_uncertainty
83,4.552884546101556,no_uncertainty
84,6.8530675546477395,unlimited_uncertainty
85,6.180009772102357,high_uncertainty
86,3.8464174269491203,high_uncertainty
87,4.836437490534866,no_uncertainty
88,4.886116244657559,unlimited_uncertainty
89,4.989585767028755,high_uncertainty
90,4.301240164948369,low_uncertainty
91,8.44490027144064,low_uncertainty
92,8.352321908331355,no_uncertainty
93,5.760057849978445,unlimited_uncertainty
94,4.1509710084206715,unlimited_uncertainty
95,5.164781165414621,unlimited_uncertainty
96,5.126724422550926,low_uncertainty
97,6.050226654296559,unlimited_uncertainty
98,4.1557657814972,unlimited_uncertainty
99,5.5378805187988185,low_uncertainty
100,5.438917653660171,no_uncertainty
101,5.526812022490344,unlimited_uncertainty
102,3.729163043344454,no_uncertainty
103,5.062540601995705,low_uncertainty
104,4.310891583902999,unlimited_uncertainty
105,5.677279637925659,no_uncertainty
106,4.7058203977533095,high_uncertainty
107,7.2631908507500444,no_uncertainty
108,5.391512649222934,unlimited_uncertainty
109,5.925590440240777,low_uncertainty
110,7.555820912761344,low_uncertainty
111,6.959997432859234,low_uncertainty
112,6.481728827133312,high_uncertainty
113,6.629964302910524,low_uncertainty
114,7.381951542496952,high_uncertainty
115,7.409673176813678,low_uncertainty
116,6.987883712897551,low_uncertainty
117,5.392376569356339,low_uncertainty
118,6.689308043274375,high_uncertainty
119,5.562636335766869,unlimited_uncertainty
120,5.225234478856958,high_uncertainty
121,6.270898355378398,high_uncertainty
122,3.721386971139488,unlimited_uncertainty
123,5.126106267335752,high_uncertainty
124,6.273567858748198,no_uncertainty
125,6.728195762902291,no_uncertainty
126,7.412827267291165,no_uncertainty
127,6.40268759250645,unlimited_uncertainty
128,5.3877480051914315,no_uncertainty
129,6.742858825531888,low_uncertainty
130,5.905847678226879,unlimited_uncertainty
131,4.9108133648516805,unlimited_uncertainty
132,4.283778027707,no_uncertainty
133,5.422777043166063,high_uncertainty
134,6.7858897536987515,no_uncertainty
135,6.1358728789049035,high_uncertainty
136,3.9953374401190844,low_uncertainty
137,3.6539857427342044,no_uncertainty
138,6.2787996258619305,unlimited_uncertainty
139,5.157981051905766,high_uncertainty
140,5.203876595835093,high_uncertainty
141,4.8658768630523275,unlimited_uncertainty
142,5.10909205479798,unlimited_uncertainty
143,4.140477454194765,low_uncertainty
144,3.698549182975518,high_uncertainty
145,6.436995291897638,high_uncertainty
146,4.4107133707484545,unlimited_uncertainty
147,4.612538410809828,unlimited_uncertainty
148,4.444063879232506,low_uncertainty
149,7.385325816056708,no_uncertainty
150,5.465036779783518,no_uncertainty
151,5.919772626826859,unlimited_uncertainty
152,7.922295961511159,high_uncertainty
153,6.04892543713352,low_uncertainty
154,6.941595831809357,low_uncertainty
155,5.744329050158529,no_uncertainty
156,7.735791903316006,low_uncertainty
157,5.81165085206811,no_uncertainty
158,6.874216916396014,no_uncertainty
159,5.202988094673737,no_uncertainty
160,4.298750512602767,unlimited_uncertainty
161,4.363670027532132,low_uncertainty
162,4.910082739041738,high_uncertainty
163,4.323254377713992,unlimited_uncertainty
164,5.609928762620852,no_uncertainty
165,6.327081771240666,high_uncertainty
166,5.287836871549302,high_uncertainty
167,4.662467661202518,unlimited_uncertainty
168,7.888023579003837,no_uncertainty
169,4.899828981274981,low_uncertainty
170,6.872720519331166,high_uncertainty
