condition,subject,trial,phase,cycle_phase,target_angle,cursor_vis,endpoint_vis,clamp,rot,instruct_phase,instruct_state
condition_1,0,1,baseline_no_fb,1,90,0.0,0.0,0.0,1.3547460476516109,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0
condition_1,0,2,baseline_no_fb,1,225,0.0,0.0,0.0,-0.28861502059151334,,1.0
condition_1,0,3,baseline_no_fb,1,255,0.0,0.0,0.0,-0.7494792191131193,,1.0
condition_1,0,4,baseline_no_fb,1,180,0.0,0.0,0.0,0.9661809927344696,,1.0
condition_1,0,5,baseline_no_fb,1,135,0.0,0.0,0.0,-1.3503270271977446,,1.0
condition_1,0,6,baseline_no_fb,1,210,0.0,0.0,0.0,1.6194470894961304,,1.0
condition_1,0,7,baseline_no_fb,1,45,0.0,0.0,0.0,-0.013770648748026144,,1.0
condition_1,0,8,baseline_no_fb,1,0,0.0,0.0,0.0,0.03759903553467391,,1.0
condition_1,0,9,baseline_no_fb,1,240,0.0,0.0,0.0,0.7504844878714645,,1.0
condition_1,0,10,baseline_no_fb,1,315,0.0,0.0,0.0,1.2234570183796472,,1.0
condition_1,0,11,baseline_no_fb,1,195,0.0,0.0,0.0,1.4040313122731167,,1.0
condition_1,0,12,baseline_no_fb,1,270,0.0,0.0,0.0,-0.9878372572036962,,1.0
condition_1,0,13,baseline_no_fb,2,0,0.0,0.0,0.0,1.140722803259406,,1.0
condition_1,0,14,baseline_no_fb,2,195,0.0,0.0,0.0,-0.7963749277367377,,1.0
condition_1,0,15,baseline_no_fb,2,90,0.0,0.0,0.0,-0.9028355089492276,,1.0
condition_1,0,16,baseline_no_fb,2,240,0.0,0.0,0.0,0.4286560682862089,,1.0
condition_1,0,17,baseline_no_fb,2,135,0.0,0.0,0.0,-1.5095187555015606,,1.0
condition_1,0,18,baseline_no_fb,2,210,0.0,0.0,0.0,-1.484324186732597,,1.0
condition_1,0,19,baseline_no_fb,2,180,0.0,0.0,0.0,-0.49382568048727404,,1.0
condition_1,0,20,baseline_no_fb,2,255,0.0,0.0,0.0,-0.33533481323182257,,1.0
condition_1,0,21,baseline_no_fb,2,225,0.0,0.0,0.0,1.0502705477449419,,1.0
condition_1,0,22,baseline_no_fb,2,45,0.0,0.0,0.0,1.429093824250705,,1.0
condition_1,0,23,baseline_no_fb,2,270,0.0,0.0,0.0,-0.5485338374705967,,1.0
condition_1,0,24,baseline_no_fb,2,315,0.0,0.0,0.0,-0.30585612132013873,,1.0
condition_1,0,25,baseline_no_fb,3,240,0.0,0.0,0.0,-0.025314898089615217,,1.0
condition_1,0,26,baseline_no_fb,3,195,0.0,0.0,0.0,0.6512203300931019,,1.0
condition_1,0,27,baseline_no_fb,3,0,0.0,0.0,0.0,-0.3001777503418073,,1.0
condition_1,0,28,baseline_no_fb,3,180,0.0,0.0,0.0,-0.22207386052814407,,1.0
condition_1,0,29,baseline_no_fb,3,225,0.0,0.0,0.0,-0.0464261886169752,,1.0
condition_1,0,30,baseline_no_fb,3,255,0.0,0.0,0.0,1.582310553460317,,1.0
condition_1,0,31,baseline_no_fb,3,210,0.0,0.0,0.0,0.3506131215493781,,1.0
condition_1,0,32,baseline_no_fb,3,135,0.0,0.0,0.0,0.37865017615984053,,1.0
condition_1,0,33,baseline_no_fb,3,45,0.0,0.0,0.0,0.8728269164770754,,1.0
condition_1,0,34,baseline_no_fb,3,90,0.0,0.0,0.0,-0.7943226025763072,,1.0
condition_1,0,35,baseline_no_fb,3,270,0.0,0.0,0.0,0.7474699676156963,,1.0
condition_1,0,36,baseline_no_fb,3,315,0.0,0.0,0.0,0.7142636784796002,,1.0
condition_1,0,37,baseline_no_fb,4,210,0.0,0.0,0.0,0.2500428060074371,,1.0
condition_1,0,38,baseline_no_fb,4,135,0.0,0.0,0.0,0.46063307304903456,,1.0
condition_1,0,39,baseline_no_fb,4,315,0.0,0.0,0.0,0.05174173315572009,,1.0
condition_1,0,40,baseline_no_fb,4,0,0.0,0.0,0.0,-0.6503143000362813,,1.0
condition_1,0,41,baseline_no_fb,4,195,0.0,0.0,0.0,-0.9392916346368815,,1.0
condition_1,0,42,baseline_no_fb,4,240,0.0,0.0,0.0,-0.9505728135984893,,1.0
condition_1,0,43,baseline_no_fb,4,90,0.0,0.0,0.0,0.5680511639763702,,1.0
condition_1,0,44,baseline_no_fb,4,225,0.0,0.0,0.0,-0.21900202029411697,,1.0
condition_1,0,45,baseline_no_fb,4,45,0.0,0.0,0.0,-0.48900771631757683,,1.0
condition_1,0,46,baseline_no_fb,4,180,0.0,0.0,0.0,0.16950557684563644,,1.0
condition_1,0,47,baseline_no_fb,4,255,0.0,0.0,0.0,-0.0823757635853631,,1.0
condition_1,0,48,baseline_no_fb,4,270,0.0,0.0,0.0,-0.10214995183868474,,1.0
condition_1,0,49,baseline_no_fb,5,255,0.0,0.0,0.0,-0.42220139820368957,,1.0
condition_1,0,50,baseline_no_fb,5,90,0.0,0.0,0.0,-0.17345452585876306,,1.0
condition_1,0,51,baseline_no_fb,5,240,0.0,0.0,0.0,-0.26514891814146807,,1.0
condition_1,0,52,baseline_no_fb,5,0,0.0,0.0,0.0,-0.7473406485633096,,1.0
condition_1,0,53,baseline_no_fb,5,45,0.0,0.0,0.0,-1.8898257202068878,,1.0
condition_1,0,54,baseline_no_fb,5,135,0.0,0.0,0.0,-1.174739112895039,,1.0
condition_1,0,55,baseline_no_fb,5,180,0.0,0.0,0.0,-0.12859880690303505,,1.0
condition_1,0,56,baseline_no_fb,5,315,0.0,0.0,0.0,0.41302053027153796,,1.0
condition_1,0,57,baseline_no_fb,5,210,0.0,0.0,0.0,0.6064350570373572,,1.0
condition_1,0,58,baseline_no_fb,5,225,0.0,0.0,0.0,1.0506986354259293,,1.0
condition_1,0,59,baseline_no_fb,5,195,0.0,0.0,0.0,0.3170182454640113,,1.0
condition_1,0,60,baseline_no_fb,5,270,0.0,0.0,0.0,-0.3604473507065146,,1.0
condition_1,0,61,baseline_continuous_fb,1,195,1.0,1.0,0.0,1.6696348450021983,"You will now only see the cursor throughout your entire reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0
condition_1,0,62,baseline_continuous_fb,1,225,1.0,1.0,0.0,1.4254403643669376,,1.0
condition_1,0,63,baseline_continuous_fb,1,210,1.0,1.0,0.0,0.3117369610828803,,1.0
condition_1,0,64,baseline_continuous_fb,1,270,1.0,1.0,0.0,2.2531922925757493,,1.0
condition_1,0,65,baseline_continuous_fb,1,240,1.0,1.0,0.0,0.6803342608320702,,1.0
condition_1,0,66,baseline_continuous_fb,1,135,1.0,1.0,0.0,0.1557994113485925,,1.0
condition_1,0,67,baseline_continuous_fb,1,0,1.0,1.0,0.0,-0.6834960571572264,,1.0
condition_1,0,68,baseline_continuous_fb,1,180,1.0,1.0,0.0,0.07142481893876428,,1.0
condition_1,0,69,baseline_continuous_fb,1,90,1.0,1.0,0.0,1.933739169327778,,1.0
condition_1,0,70,baseline_continuous_fb,1,315,1.0,1.0,0.0,0.15134984070368074,,1.0
condition_1,0,71,baseline_continuous_fb,1,255,1.0,1.0,0.0,0.4446814653367478,,1.0
condition_1,0,72,baseline_continuous_fb,1,45,1.0,1.0,0.0,0.05246011238704618,,1.0
condition_1,0,73,baseline_continuous_fb,2,270,1.0,1.0,0.0,-0.4295816656468923,,1.0
condition_1,0,74,baseline_continuous_fb,2,210,1.0,1.0,0.0,0.4436039304290707,,1.0
condition_1,0,75,baseline_continuous_fb,2,180,1.0,1.0,0.0,-0.6070656169775794,,1.0
