cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,phase,trial,cycle,target_angle,instruct_phase,instruct_state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,1,0,135,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,2,0,45,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,3,0,60,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,4,0,30,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,5,0,165,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,6,0,0,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,7,0,15,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,8,0,120,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,9,0,105,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,10,0,75,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,11,0,90,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,12,0,150,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,13,1,75,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,14,1,90,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,15,1,30,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,16,1,120,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,17,1,60,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,18,1,0,,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baseline_no_fb,19,1,105,,1.0
