condition,subject,trial,phase,cycle_phase,target_angle,cursor_vis,midpoint_vis,endpoint_vis,cursor_sig,cursor_mp_sig,cursor_ep_sig,clamp,rot,instruct_phase,instruct_state
high,15,1,baseline_no_fb,1,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.646833812468714,"Please slice through the target as quickly and accurately as possible.
You will not see the cursor during this phase.",1.0
high,15,2,baseline_no_fb,1,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.558927794406923,,1.0
high,15,3,baseline_no_fb,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9251887641081025,,1.0
high,15,4,baseline_no_fb,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0035619755601015,,1.0
high,15,5,baseline_no_fb,1,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048292971229116,,1.0
high,15,6,baseline_no_fb,1,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.719971684305692,,1.0
high,15,7,baseline_no_fb,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.732196698655773,,1.0
high,15,8,baseline_no_fb,1,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.744016307300923,,1.0
high,15,9,baseline_no_fb,1,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0425330377104,,1.0
high,15,10,baseline_no_fb,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.417246488502538,,1.0
high,15,11,baseline_no_fb,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.203477921740443,,1.0
high,15,12,baseline_no_fb,1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.99749714462904,,1.0
high,15,13,baseline_no_fb,2,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8070782586059524,,1.0
high,15,14,baseline_no_fb,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.984036912570566,,1.0
high,15,15,baseline_no_fb,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2235460613681104,,1.0
high,15,16,baseline_no_fb,2,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4763076397420933,,1.0
high,15,17,baseline_no_fb,2,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.783857367046926,,1.0
high,15,18,baseline_no_fb,2,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.62178910874943,,1.0
high,15,19,baseline_no_fb,2,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201458528300439,,1.0
high,15,20,baseline_no_fb,2,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8244912964854265,,1.0
high,15,21,baseline_no_fb,2,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.193128273448554,,1.0
high,15,22,baseline_no_fb,2,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.53222214038372,,1.0
high,15,23,baseline_no_fb,2,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8587732041775775,,1.0
high,15,24,baseline_no_fb,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.671081417360302,,1.0
high,15,25,baseline_continuous_fb,1,75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.355022111626148,"You will now only see the cursor throughout your entire reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0
high,15,26,baseline_continuous_fb,1,180,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.40738569336944,,1.0
high,15,27,baseline_continuous_fb,1,105,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8671111800182536,,1.0
high,15,28,baseline_continuous_fb,1,315,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.35734053634849,,1.0
high,15,29,baseline_continuous_fb,1,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-18.891266532339543,,1.0
high,15,30,baseline_continuous_fb,1,45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-11.33990837648841,,1.0
high,15,31,baseline_continuous_fb,1,120,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-10.691766324496866,,1.0
high,15,32,baseline_continuous_fb,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.605457664156422,,1.0
high,15,33,baseline_continuous_fb,1,135,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.257587516304175,,1.0
high,15,34,baseline_continuous_fb,1,225,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.877399796991455,,1.0
high,15,35,baseline_continuous_fb,1,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.947791616463537,,1.0
high,15,36,baseline_continuous_fb,1,270,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.7440961775828323,,1.0
high,15,37,baseline_continuous_fb,2,60,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.1801667417689603,,1.0
high,15,38,baseline_continuous_fb,2,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0019626558168602997,,1.0
high,15,39,baseline_continuous_fb,2,105,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.03027615151981,,1.0
high,15,40,baseline_continuous_fb,2,180,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.036905433445014,,1.0
high,15,41,baseline_continuous_fb,2,135,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.210732353609245,,1.0
high,15,42,baseline_continuous_fb,2,45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5624935021981994,,1.0
high,15,43,baseline_continuous_fb,2,225,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.313877062106646,,1.0
high,15,44,baseline_continuous_fb,2,270,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5951065981846393,,1.0
high,15,45,baseline_continuous_fb,2,75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-12.883417239465151,,1.0
high,15,46,baseline_continuous_fb,2,315,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.065804284472112,,1.0
high,15,47,baseline_continuous_fb,2,90,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.064121046198255,,1.0
high,15,48,baseline_continuous_fb,2,120,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.252894104338645,,1.0
high,15,49,baseline_endpoint_fb,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.439755233168642,"You will now only see the cursor only at the endpoint of your reach.
Please continue to slice through the target as quickly and accurately as possible.",1.0
high,15,50,baseline_endpoint_fb,1,180,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-14.344724232564525,,1.0
high,15,51,baseline_endpoint_fb,1,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.433494633996553,,1.0
high,15,52,baseline_endpoint_fb,1,315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.7158438479153486,,1.0
high,15,53,baseline_endpoint_fb,1,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.007086884037020994,,1.0
high,15,54,baseline_endpoint_fb,1,225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.350535009423496,,1.0
high,15,55,baseline_endpoint_fb,1,270,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.9178877754810233,,1.0
high,15,56,baseline_endpoint_fb,1,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.85984859138863,,1.0
high,15,57,baseline_endpoint_fb,1,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.399880507562091,,1.0
high,15,58,baseline_endpoint_fb,1,135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.552119755698753,,1.0
high,15,59,baseline_endpoint_fb,1,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.42891677102871,,1.0
high,15,60,baseline_endpoint_fb,1,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-19.92418807358364,,1.0
high,15,61,baseline_endpoint_fb,2,315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7229041954098165,,1.0
high,15,62,baseline_endpoint_fb,2,135,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.646445927775151,,1.0
high,15,63,baseline_endpoint_fb,2,225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.289096378921807,,1.0
high,15,64,baseline_endpoint_fb,2,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.967304322165443,,1.0
high,15,65,baseline_endpoint_fb,2,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.8824989254407543,,1.0
high,15,66,baseline_endpoint_fb,2,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.942286420824058,,1.0
high,15,67,baseline_endpoint_fb,2,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7516297820900606,,1.0
high,15,68,baseline_endpoint_fb,2,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.788397920227615,,1.0
high,15,69,baseline_endpoint_fb,2,270,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.234348158813729,,1.0
high,15,70,baseline_endpoint_fb,2,180,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.27050510119536,,1.0
high,15,71,baseline_endpoint_fb,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.093884276929913,,1.0
high,15,72,baseline_endpoint_fb,2,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.2605717098747435,,1.0
high,15,73,baseline_mixed_fb,1,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.7701669198409946,"You will now only see the cursor at the endpoint of your reach on some trials.
On the other trials you will not recieve feedback at all.
Please continue to slice through the target as quickly and accurately as possible.",1.0
high,15,74,baseline_mixed_fb,1,180,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.249623712613207,,1.0
high,15,75,baseline_mixed_fb,1,315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.336799828396375,,1.0
high,15,76,baseline_mixed_fb,1,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.164405884402355,,1.0
high,15,77,baseline_mixed_fb,1,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.853927451720793,,1.0
high,15,78,baseline_mixed_fb,1,90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.238125256826562,,1.0
high,15,79,baseline_mixed_fb,1,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-14.37735177055103,,1.0
high,15,80,baseline_mixed_fb,1,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0291794785928,,1.0
high,15,81,baseline_mixed_fb,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.323631572079233,,1.0
high,15,82,baseline_mixed_fb,1,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-17.981486947200445,,1.0
high,15,83,baseline_mixed_fb,1,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.545482590542061,,1.0
high,15,84,baseline_mixed_fb,1,270,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-17.185833168024715,,1.0
high,15,85,baseline_mixed_fb,2,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0528398876609377,,1.0
high,15,86,baseline_mixed_fb,2,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4511609378186954,,1.0
high,15,87,baseline_mixed_fb,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91501705048079,,1.0
high,15,88,baseline_mixed_fb,2,270,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.46324224556985,,1.0
high,15,89,baseline_mixed_fb,2,180,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-11.648746065390025,,1.0
high,15,90,baseline_mixed_fb,2,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9187367813360496,,1.0
high,15,91,baseline_mixed_fb,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.03884599443289,,1.0
high,15,92,baseline_mixed_fb,2,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.124986110334158,,1.0
high,15,93,baseline_mixed_fb,2,120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.642307492820838,,1.0
high,15,94,baseline_mixed_fb,2,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.236446215890424,,1.0
high,15,95,baseline_mixed_fb,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.548930109363399,,1.0
high,15,96,baseline_mixed_fb,2,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7953430442575873,,1.0
high,15,97,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.60114366207571,"You will now be asked to reach to targets that you have not yet reached to.
You will not receive feedback of any kind for these reaches.Please continue to slice through the target as quickly and accurately as possible.",1.0
high,15,98,generalisation,1,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.362692923138006,,1.0
high,15,99,generalisation,1,120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.44415742210246,,1.0
high,15,100,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.46453449641274,,1.0
high,15,101,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.402205687209225,,1.0
high,15,102,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,35.993970298798104,,1.0
high,15,103,generalisation,1,180,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.743673597795915,,1.0
high,15,104,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,32.00589275573904,,1.0
high,15,105,generalisation,1,225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.073559547513778,,1.0
high,15,106,generalisation,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.657433278210945,,1.0
high,15,107,generalisation,1,135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.779879050127214,,1.0
high,15,108,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.570597527516092,,1.0
high,15,109,generalisation,1,105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.019797007383005,,1.0
high,15,110,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.23858374228992,,1.0
high,15,111,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.821179298771415,,1.0
high,15,112,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.590386563155555,,1.0
high,15,113,generalisation,1,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.489830490771336,,1.0
high,15,114,generalisation,1,315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.328318826632458,,1.0
high,15,115,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.31581288216362,,1.0
high,15,116,generalisation,1,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.738154170693615,,1.0
high,15,117,generalisation,1,75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.837179917665786,,1.0
high,15,118,generalisation,1,270,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0147271820009,,1.0
high,15,119,generalisation,2,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.28529866272639,,1.0
high,15,120,generalisation,2,90,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.95745124211662,,1.0
